,endpoint_COLD HL 1,endpoint_COLD HL 2,endpoint_COLD HL 3,endpoint_COLD 1,endpoint_COLD 2,endpoint_COLD 3,endpoint_T1,endpoint_T 2,endpoint_T 3,endpoint_HEAT HL 1,endpoint_HEAT HL 2,endpoint_HEAT HL 3,endpoint_HEAT DROUGHT 1,endpoint_HEAT DROUGHT 2,endpoint_HEAT DROUGHT 3,endpoint_HEAT 1,endpoint_HEAT 2,endpoint_HEAT 3,endpoint_DROUGHT 1,endpoint_DROUGHT 2,endpoint_DROUGHT 3,endpoint_Humidity 1,endpoint_Humidity 2,endpoint_Humidity 3,endpoint_HL 1,endpoint_HL 2,endpoint_HL 3,recovery_COLD HL 1,recovery_COLD HL 2,recovery_COLD HL 3,recovery_COLD 1,recovery_COLD 2,recovery_COLD 3,recovery_T1,recovery_T 2,recovery_T 3,recovery_HEAT HL 1,recovery_HEAT HL 2,recovery_HEAT HL 3,recovery_HEAT DROUGHT 1,recovery_HEAT DROUGHT 2,recovery_HEAT DROUGHT 3,recovery_HEAT 1,recovery_HEAT 2,recovery_HEAT 3,recovery_DROUGHT 1,recovery_DROUGHT 2,recovery_DROUGHT 3,recovery_Humidity 1,recovery_Humidity 2,recovery_Humidity 3,recovery_HL 1,recovery_HL 2,recovery_HL 3,CONT 1,CONT 2,CONT 3
AT2G01080,7.404809665,7.378890769,7.338005658,7.027099427,7.191925434,6.981608834,7.462941926,7.095244213,7.534917877,7.01038843,6.822755751,6.966182088,7.492609149,7.200779812,6.772724281,7.186882564,6.795025629,6.906103943,7.712654257,7.467505967,7.337713974,6.85284312,6.806276073,6.88287096,6.737685618,6.828816896,7.086143555,6.737731222,7.198951745,6.642860797,6.939033737,6.870282024,6.862002059,6.955968023,6.911275019,6.976038094,6.810518848,6.95255553,6.881912477,6.933543871,6.853500955,6.803322867,6.85399461,6.924134187,6.809279413,6.858245056,6.792864998,6.870144179,6.962775792,6.898300954,6.939903905,6.83511689,6.982743276,6.949792792,7.005238736,6.843627002,6.739864505
AT2G01090,7.713550638,8.171800837,7.875337822,7.902873702,7.729464189,7.459790443,7.866378803,7.403103881,7.971566325,7.446075572,7.28859036,7.35352888,8.104043554,7.929293496,7.866302086,7.250748962,7.478115318,7.362662208,7.843050649,7.589222881,7.945533658,7.511983997,7.489942701,7.35861976,7.382183169,7.476844634,7.398433237,7.359491299,7.60045242,7.202807571,7.179546902,7.131730202,7.471171907,7.251867385,7.278031417,7.148328165,7.185610398,7.217713478,7.412074534,7.388142397,7.303136946,7.292445536,7.308809676,7.285842066,7.427919935,7.308430715,7.333155797,7.477295306,7.377527014,7.456925114,7.373815988,7.203806567,7.431250487,7.422895491,7.475153859,7.213982755,7.192596035
AT2G01100,9.16187803,9.264113123,9.230453957,9.227444171,8.984150436,8.718110062,9.962795596,9.243958519,9.881384305,9.35684572,9.07135974,8.989524589,10.31392921,10.53010183,10.66705959,9.25444491,9.143366636,8.972505517,10.08537953,9.545555582,10.16780293,9.15889062,9.196092908,9.203832957,9.30160396,9.005016115,9.078559165,8.943589526,9.031851162,8.837739999,8.945104493,9.093910073,8.993237031,8.755784672,8.861943334,9.074792958,8.759927701,8.856759312,9.219970123,8.858911992,8.878036874,9.078159201,8.808956541,8.927066067,9.059449521,9.127805221,9.274560471,9.054921299,8.842751792,9.023430481,8.917022909,8.963206243,9.29152915,9.143372549,9.120340286,9.047665761,8.999421194
AT2G01110,12.00002385,12.05011571,11.8144914,11.82821654,11.76289782,11.6351898,11.71522671,11.3632591,11.87256083,11.22345029,11.31246548,11.2610512,11.98441022,11.92587736,11.85516491,11.09436144,11.17131883,11.13536724,11.91813407,11.75241454,11.86188188,11.37506625,11.2642293,11.51457571,11.34802018,11.39362866,11.37100664,11.27322394,10.76381546,11.26629489,11.25568295,11.24682195,11.19329967,11.16039659,11.24342855,11.11380757,11.27041046,11.25469528,11.01681169,11.27190992,11.23512851,11.11716199,11.30919955,11.20681586,11.29370161,11.16508944,11.08745009,11.07408907,11.27554498,11.30118711,11.26413876,11.2764457,11.10940005,11.20300629,11.26659901,11.20636301,11.14663411
AT2G01120,8.037610235,8.159439155,7.967999508,7.96418061,7.767880633,7.668491448,7.218303063,7.229256053,7.353593515,7.36887362,7.249139799,7.06110682,6.972108998,6.799230694,6.856690358,7.074567959,7.146378996,7.085952112,7.048469783,7.290022277,7.027084868,7.249969201,7.057381641,6.891302019,7.12067409,7.080986791,7.020108818,6.973438744,7.370908283,7.103746473,7.215777441,7.195546723,7.245252186,6.799066083,7.088889037,7.186939222,7.169321897,6.86383116,7.12576183,6.973622288,7.125154325,6.984891046,7.072475009,7.124480398,7.261730671,7.191991101,7.072539807,7.158856447,7.190118359,7.200370923,7.273768948,7.070671673,7.187346358,7.145937404,7.128610864,6.940854992,7.155102728
AT2G01130,9.484793453,9.417032661,9.279518079,9.342323069,9.117243112,9.181051348,9.588592229,9.220532469,9.562815616,9.090809642,8.885858554,8.921818594,9.617274295,9.553865145,9.200919982,9.202157764,9.18837222,8.975251422,9.888422496,9.755789018,9.72611364,8.89496808,8.827233625,8.825864938,9.15735144,8.980781642,9.033603192,9.034605354,8.953294524,8.907661021,9.076125719,8.873066683,8.966560958,8.851931963,8.897624903,9.121276138,8.798521653,8.8003876,9.107756603,8.872933776,8.897646046,8.966770997,8.901406979,8.999839023,8.956551682,9.142125854,9.367234289,9.01684721,8.839672112,8.943033945,8.896662633,9.055921832,9.213122724,9.026509023,8.908512258,8.860287815,8.84850611
AT2G01140,11.79220445,11.72128107,11.76094947,11.47784283,11.43680821,11.29609689,11.54050698,11.00662722,11.54226271,11.15507507,11.01207112,10.90686939,11.61749116,11.7264733,11.55762526,10.8077812,10.79565243,10.76853951,11.77701645,11.4549927,11.77229307,11.02651749,10.88045179,10.78253663,11.28433419,11.16495174,11.24600472,10.60373049,10.54127288,10.70109661,10.73041088,10.88168803,10.88097498,10.72750599,10.89227564,11.08272832,10.78162738,10.84912838,11.12242356,10.92720554,10.88162885,10.92766494,10.8950591,10.96546823,10.90982385,11.02876417,10.96624468,11.04660189,10.89986977,10.96696256,10.90471697,10.85675005,10.98664287,10.87690222,10.96671548,10.74409194,10.72789538
AT2G01150,6.715642409,6.559778053,6.689785018,6.775639049,6.628199146,6.519417863,6.636693085,6.461328864,6.805478092,6.405163567,6.361232448,6.403077487,6.370880423,6.773059339,6.85584176,6.207103628,6.589704555,6.337662647,7.006432313,6.588159061,6.892068955,6.151524075,6.218207497,6.16205797,6.358799239,6.497246434,6.360555153,6.323029537,6.717363321,6.389089872,6.361163927,6.372503565,6.196985976,6.302263426,6.416614588,6.335044864,6.344065996,6.317934707,6.438335437,6.206245377,6.342050058,6.314338538,6.217996584,6.230105483,6.301764392,6.764371952,6.524387697,6.475863733,6.356728714,6.226967348,6.28931193,6.297817408,6.301035088,6.331897781,6.456983117,6.365850057,6.336637923
AT2G01160,-2.423495947,-2.423493057,-2.423525149,-2.423525388,-2.423576672,-2.423544263,-2.423584892,-2.423647665,-2.42352514,-2.423635976,-2.423648962,-2.423162743,-2.423516669,-2.423518401,-2.423438022,-2.423666397,-2.42363636,-2.42369741,-2.423521949,-2.423603548,-2.423495742,-2.42361075,-2.423639506,-2.423609564,-2.423597412,-2.423611531,-2.423591274,-2.423641956,-2.421898417,-2.423673426,-2.423693334,-2.423617372,-2.423660186,-2.423635916,-2.4236252,-2.423606949,-2.423644907,-2.423644034,-2.423648968,-2.423641895,-2.423647941,-2.423633439,-2.423624687,-2.423658885,-2.423625869,-2.42361973,-2.423593478,-2.42364225,-2.423611289,-2.423672842,-2.423631041,-2.423605489,-2.423646232,-2.423626284,-2.423652881,-2.423624757,-2.423616802
AT2G01170,9.55931756,9.652051641,9.375527058,9.588733592,9.363976115,9.13185311,9.574388687,9.070614009,9.504964396,9.116327838,9.235657394,9.107394648,9.80379096,9.658743707,9.494714744,9.158679337,9.195233953,9.08320881,9.761210879,9.421018266,9.57446578,8.97173149,8.929067479,8.953405366,9.074585303,9.077762558,8.993712711,9.027563818,8.919759815,8.796849415,8.95886807,8.764426705,8.790216347,8.832754103,8.778037394,8.706770901,8.877738406,8.68716287,8.652532124,9.119063678,8.795203569,8.844591508,9.119550309,8.667484228,8.756681261,8.896020738,8.784664223,8.646929657,9.033288426,8.879802474,8.89070753,8.943101354,8.767029118,8.800977503,9.069982005,8.728724161,8.72725382
AT2G01175,3.226728249,3.178606689,3.220561267,3.299283943,3.176782672,3.254390185,3.492772599,3.225901189,3.467324163,3.301335071,3.261004875,3.384155648,3.912351266,3.758732485,3.916659597,3.346097373,3.345985268,3.407417118,3.752333161,3.381471031,3.957509195,3.26244919,3.22775604,3.328208396,3.322597931,3.234588362,3.352974407,3.275328014,3.695418351,3.262939537,3.216563965,3.23309929,3.289414242,3.175825059,3.204080801,3.378788394,3.201546045,3.25097036,3.272439293,3.2753535,3.188526195,3.229174726,3.307260701,3.223446885,3.330259054,3.259207799,3.208611878,3.275205094,3.23465076,3.283590231,3.327089255,3.236164977,3.273557699,3.352895497,3.355445504,3.33094825,3.205224246
AT2G01180,7.392497594,7.460772359,7.399708327,7.444984919,7.272309986,7.298501462,7.259478341,7.32461721,7.489899431,7.105586998,7.234201209,6.947077068,7.575854486,7.839305895,8.027425454,7.417980921,7.311233692,7.127393854,7.496237185,7.396455829,7.81718156,7.27482024,6.994240596,7.334377502,7.406130066,7.141397204,7.022299465,7.029203788,7.442219195,6.863067111,7.007494393,7.080423036,7.161711808,7.088207134,7.107900638,7.4871431,7.006512115,6.990360474,7.497799877,7.125405242,7.085706676,7.530026193,7.077068963,7.270863536,7.209254779,7.398710125,7.658672817,7.37861314,7.151454031,7.198766692,6.954081431,7.126976148,7.706962951,7.458897187,7.392109097,7.043305729,6.846983493
AT2G01190,9.084796766,8.835123588,8.942643549,8.782618764,8.946227859,8.450782654,9.028986566,8.602769214,9.161173109,8.741733592,8.788803329,8.5644723,9.759873724,9.724880511,10.00562413,8.68529171,8.821437162,8.609440035,9.407588778,9.064717731,9.546894511,8.812208334,8.934029446,8.851280398,8.632565889,8.596928397,8.575836452,8.331045239,8.669209181,8.435913945,8.640180953,8.469463602,8.545260414,8.3448088,8.339199596,8.901853676,8.490257243,8.543039153,8.849864439,8.510281823,8.579927906,8.683697594,8.599232715,8.616476997,8.447458264,8.555498642,8.852352577,8.697631226,8.495886964,8.5668875,8.559673819,8.597741415,8.783511689,8.812933113,8.601214277,8.424018081,8.404496878
AT2G01200,2.447191976,2.195519944,2.415098593,2.254349389,2.162407092,2.230306384,2.335922476,2.154337669,2.204819831,2.15550909,2.175212835,2.132796337,2.171304375,2.274121899,2.36826317,2.209738352,2.260395738,2.149944993,2.272135148,2.321704206,2.321742701,2.206719945,2.19824676,2.158374594,2.132894252,2.182686439,2.13293052,2.143860164,2.430400216,2.189410716,2.209651061,2.204683573,2.132573028,2.199253302,2.156640615,2.13283975,2.132643475,2.176133424,2.132624298,2.132657918,2.164927938,2.144321209,2.245777552,2.153265669,2.179689954,2.157234483,2.132917389,2.217954992,2.158177712,2.152000257,2.156020979,2.158845177,2.132637185,2.132735807,2.214242771,2.144808496,2.157557969
AT2G01210,6.83275154,6.740362433,6.674543485,6.786512926,6.519888248,6.534074437,6.639460667,6.652158276,6.501957963,6.460592615,6.524636604,6.502672778,6.42926744,6.208277893,5.92713614,6.45214295,6.404828907,6.387625503,6.480083576,6.313958973,6.270182169,6.340648384,6.205215665,6.169050883,6.380381003,5.916372721,6.363945071,6.359348246,6.670614292,6.262364902,6.448982966,6.215309967,6.363833427,6.297115543,6.217812584,6.266045345,6.309116596,6.300211067,6.494572516,6.271410017,6.307209839,6.071339151,6.341851781,6.395750003,6.203237207,6.588069074,6.439440656,6.467532594,6.282352975,6.364760363,6.543497678,6.497061777,6.178305591,6.247409807,6.47964023,6.341679873,6.331789134
AT2G01220,9.810231791,9.726835286,9.520865457,9.621883926,9.501068132,9.382733962,10.51535326,9.681203688,10.42962162,9.685746585,9.640758619,9.560690228,10.79266639,10.80927717,11.00420231,9.681007275,9.527390513,9.416148224,10.35618433,10.14207723,10.39888088,9.652230844,9.646600477,9.642910934,9.465798983,9.512719277,9.350986579,9.315849699,9.357560577,9.208895017,9.35957849,9.402575001,9.321228924,9.225304957,9.186498499,9.330183532,9.399030809,9.32875303,9.454928582,9.387094518,9.389324603,9.347316686,9.415373348,9.25123249,9.352191003,9.488641258,9.504744741,9.378672101,9.313077806,9.482277561,9.396389819,9.353200237,9.377577145,9.278281642,9.45863293,9.284765941,9.357428939
AT2G01240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G01250,14.14939926,14.11007206,14.08356312,13.8119689,13.78244129,13.57495242,11.92993365,12.33667702,11.93977767,12.65106824,12.54731797,12.39248781,11.84935781,11.86788343,11.55921142,11.9672674,12.35242004,12.22892406,12.08250931,11.90325417,11.93004901,12.5522192,12.57262151,12.00470503,12.68842257,12.74483612,12.73614096,12.25562154,11.56212242,12.57653001,12.44447575,12.77810119,12.47508088,12.3353959,12.40336685,12.52636935,12.50650046,12.45591269,12.60684407,12.49768284,12.48807974,12.45895409,12.48420146,12.51801936,12.55509457,12.61824656,12.50353566,12.55758964,12.5011098,12.4974191,12.48363564,12.58868879,12.461913,12.37277252,12.60894548,12.48432376,12.47255196
AT2G01260,9.027444306,9.005793679,8.918548823,8.813450757,8.687612444,8.581836347,8.783548673,8.724148297,9.105519685,8.5660813,8.411031291,8.400955253,8.82320215,8.991771545,8.935006331,8.401130634,8.571855797,8.399235971,8.781608541,8.688028131,8.883222618,8.669904593,8.546429231,8.739741027,8.595029853,8.607459439,8.596161645,8.480009629,8.538452807,8.496935591,8.356023813,8.372087707,8.529412967,8.358061722,8.460942034,8.813564997,8.291888511,8.604469242,8.541131488,8.48605297,8.564590954,8.62477411,8.458700091,8.399915289,8.390294435,8.558686102,8.589457771,8.516925176,8.338952536,8.366668387,8.660539109,8.558361913,8.49548732,8.637798906,8.504056496,8.546468967,8.441545038
AT2G01270,10.03230164,9.955808222,9.958682645,9.642728882,9.690060527,9.49266916,9.756791007,9.284182354,9.892974028,9.287879851,9.167393704,9.175882563,10.24774298,10.49786744,10.51834573,9.263167439,9.258426961,9.180332109,10.19707672,9.674052359,10.15885672,9.102195785,9.092985113,9.259181788,9.222013073,9.090963912,9.140568111,8.988819237,9.13620375,9.118704176,8.958710643,9.120676482,9.192500585,9.070838408,9.049391926,9.262100113,9.081449715,9.049833698,9.110494468,8.986003239,9.089299474,9.069493145,9.057758692,9.117821311,9.139177295,9.15943285,9.088847438,9.04138904,9.017736294,8.991922319,9.045011197,9.001796168,9.132624441,9.243650619,9.155782968,9.008274693,9.036551362
AT2G01275,3.998636732,3.935378719,3.942429105,4.08944191,3.853414738,3.884728557,4.001650326,3.971218415,4.101598667,3.973056015,3.978389168,3.870159506,4.168868629,4.085653842,3.894221492,3.970668806,3.888923845,3.823524342,3.944973988,4.07723685,4.126403143,3.926566896,3.867361448,3.968414187,3.793416917,3.976524575,3.941518426,3.885533044,4.318707739,3.867686035,3.903806688,3.846650464,3.901518409,3.87930098,3.895891723,3.89690905,3.883771474,3.845198531,4.063852397,4.064633839,3.927746297,4.01846938,4.036125162,3.911085162,3.874812633,4.032887577,4.033443513,4.001284685,3.904967318,3.9098617,3.785794516,3.816249181,3.863821577,3.853440785,3.879105014,3.945794553,4.044735016
AT2G01280,0.939976573,1.04876869,0.939886199,0.973345014,0.939751463,0.955455285,1.038079808,0.939608089,0.939886224,0.980818748,0.939605854,0.984698868,0.974620391,1.122522292,0.940191835,0.948810472,0.950143423,0.955579255,0.939895572,1.030911647,0.939977248,0.939677217,0.939622441,0.951484003,0.988150892,0.962890159,0.939718326,0.939618079,1.09562659,0.957364192,0.939536424,1.025907173,0.967659429,0.980829419,0.961544686,0.951623086,0.939612884,0.979424751,0.939605843,0.939618187,0.997509418,0.981267239,0.961593749,0.939589157,0.939647578,0.939659382,1.012267293,0.939617558,0.939676126,0.957409983,0.991806648,0.939687987,0.939610575,0.939646791,0.996318886,0.950705418,0.962362278
AT2G01290,9.963524292,9.786453491,9.917567624,9.39485164,9.529893858,9.27414322,8.615636503,8.862978792,8.462810937,8.941314964,8.920177573,8.881046264,8.584235272,8.618590151,8.406666353,8.461203031,8.622519836,8.567747665,8.240069794,8.247228259,8.148893808,8.754828145,8.552998166,8.245450156,8.837321299,9.038315073,8.946052697,8.511648192,8.663958086,8.720669093,8.479379742,8.707342263,8.633836213,8.519577718,8.673461065,8.729500704,8.600746277,8.717832664,8.759244029,8.686674202,8.59391992,8.719641238,8.688420125,8.687383134,8.667026268,8.78475016,8.545600058,8.803880191,8.705964202,8.747111971,8.703541678,8.650380301,8.695690508,8.590445453,8.839765079,8.590617845,8.704101508
AT2G01300,2.519981103,2.48033962,2.564914064,2.4800181,2.535058836,2.543313332,2.558558042,2.596277316,2.800422176,2.479197074,2.577511487,2.503320868,2.551203263,2.550683241,2.623005162,2.517036048,2.563184592,2.478882919,2.480050278,2.504578918,2.520017275,2.692062299,2.732658024,2.674612707,2.505288007,2.50368284,2.506015535,2.580393056,2.821223332,2.551055201,2.576268939,2.503045658,2.573048763,2.543180751,2.546163295,2.55153788,2.52077948,2.520938591,2.520046779,2.561262295,2.559207903,2.522914976,2.567373787,2.518307669,2.626229921,2.547734279,2.555754829,2.589638635,2.614740995,2.601031575,2.501613267,2.551984554,2.578625574,2.566789792,2.611238379,2.567348393,2.503107145
AT2G01310,-1.867144059,-1.867111347,-1.86747457,-1.867477273,-1.868057721,-1.867690905,-1.868150761,-1.868861251,-1.86747447,-1.868728951,-1.868875926,-1.86848963,-1.86737859,-1.867398193,-1.866488443,-1.869073265,-1.868733296,-1.869424275,-1.867438348,-1.86836192,-1.867141737,-1.858209652,-1.868768902,-1.868430004,-1.868292471,-1.868452271,-1.863106104,-1.868796627,-1.849062705,-1.869152823,-1.869378145,-1.868518379,-1.869002963,-1.868728265,-1.868606976,-1.86840041,-1.868830036,-1.868820153,-1.868876,-1.868795936,-1.868864374,-1.863583341,-1.868601178,-1.868988233,-1.868614552,-1.858311296,-1.868247938,-1.868799963,-1.868449534,-1.869146207,-1.868673095,-1.868383881,-1.848377474,-1.86861925,-1.868920287,-1.858368187,-1.868511929
AT2G01320,11.0456559,11.02270017,11.00821969,10.78915388,10.67950509,10.58524833,10.46260899,10.23261007,10.52105328,10.13086338,10.12282875,10.11180573,10.69042196,10.61079697,10.53648277,10.06070597,10.12636505,9.952551247,10.57437545,10.33316505,10.53741304,9.98067473,9.948611487,10.17055182,10.29205835,10.20378828,10.31994946,9.879174692,9.839275132,9.984756828,9.924765913,9.980334098,10.13966569,9.768045837,9.959509035,10.11553998,9.939233252,9.845230462,10.07491101,10.03141429,9.98526898,10.03355995,10.04364305,9.980260737,9.975090078,10.23006898,10.1332944,10.11520027,9.975624807,10.02689761,10.0011951,9.887602005,10.01881186,10.00535785,10.03314168,9.828892899,9.850963215
AT2G01330,7.493851359,7.530388876,7.550857642,7.39711376,7.483325188,7.447855355,7.498646563,7.313847052,7.523931013,7.118178168,7.102325242,7.118266665,7.779503609,7.90748393,8.185342008,7.167725192,7.158261341,7.090328691,7.622679778,7.57483405,7.520895825,7.068646134,7.064139525,7.130177443,7.267901639,7.174045454,7.330440166,6.945171925,7.411952025,7.069336379,7.092999005,7.114913052,7.255834245,6.901399714,7.019621371,7.21078402,7.073420331,7.084591506,7.286285839,7.12855945,7.10144879,7.226581259,7.016250929,6.947662535,7.092944171,7.313265299,7.398446179,7.175041112,7.091474023,6.971959745,7.030797675,7.05445339,7.318653776,7.096169771,7.249646951,6.96540616,6.877663932
AT2G01340,5.365278879,5.615070595,5.734124132,5.852745725,5.573863035,5.759904206,6.133903075,5.864503925,6.562995121,6.104066891,5.69986481,5.866355817,7.985554979,8.172930835,9.656761927,5.997587602,5.566889169,5.936966134,6.668915318,6.599020572,7.369053153,6.137051464,6.508241022,6.818324937,5.715124863,6.093306823,5.979577949,5.840526661,6.51056136,6.035510643,5.845062489,5.759089756,5.999330761,6.183734208,5.655383948,6.203571907,5.69754983,5.936543865,6.284908209,5.692720542,5.755815646,6.245136294,6.151531796,6.017900421,5.762852403,6.135134488,6.382503705,6.605500251,5.896362157,5.972991007,6.013930823,6.176501625,6.082563075,6.293034871,6.290351987,6.05634767,5.68611694
AT2G01350,10.22278665,10.27100231,10.1480848,10.14808145,10.15245253,9.964685658,10.6615985,10.0173681,10.82697545,10.04256995,9.97210104,9.836209014,11.13547897,11.17690216,11.34822236,9.943563241,9.809212752,9.83155087,10.94493476,10.7641724,11.07580282,9.916827798,9.903412104,9.665291345,10.18018854,10.00405031,10.07110047,9.715634592,9.71436876,9.647845987,9.694236057,9.722604847,9.753638732,9.521150445,9.745814579,9.987019734,9.799045445,9.723554421,10.00019856,9.751422839,9.788349338,9.81485861,9.787171365,9.750816227,9.819760373,9.890565819,9.9441068,9.883951746,9.813661058,9.898903471,9.828098563,9.787064844,9.979887527,9.845430297,9.936995263,9.726639013,9.719808386
AT2G01360,-2.423472209,-2.423469617,-2.423498393,-2.423498607,-2.423544592,-2.423515531,-2.423551962,-2.423608249,-2.423498385,-2.423597768,-2.423609412,-2.423578809,-2.423490789,-2.423492342,-2.423420269,-2.423625046,-2.423598113,-2.423652854,-2.423495523,-2.423568691,-2.423472025,-2.423575148,-2.423195559,-2.423574085,-2.423563189,-2.423575849,-2.423557685,-2.42360313,-2.422039752,-2.423631349,-2.423649199,-2.423581086,-2.423619476,-2.423597714,-2.423588105,-2.42357174,-2.423605776,-2.423604994,-2.423609418,-2.423603075,-2.423608497,-2.423595493,-2.423587646,-2.423618309,-2.423588705,-2.423583201,-2.423559661,-2.423603394,-2.423575632,-2.423630824,-2.423593343,-2.423570431,-2.423606964,-2.423589077,-2.423612926,-2.423587708,-2.423580575
AT2G01370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G01390,6.360094849,6.453416787,6.48791487,6.285080644,6.349064576,6.254347199,6.101644869,6.156729108,6.249549776,6.073075844,6.167602087,6.022682471,6.358063851,6.189998133,6.036419502,5.833775093,6.044094173,5.84219836,5.792559231,5.766836081,6.314971382,6.124330284,5.947246914,5.925034384,5.966620511,5.875837406,5.869442574,5.903577076,6.301991605,5.974059547,6.07802939,5.824950737,5.779531127,5.73390318,5.710445372,5.787018558,5.922826201,5.918400005,5.662390711,5.863712102,5.664040745,5.793751578,5.728687919,5.731857905,5.768429219,5.881316894,6.01898204,5.769527013,5.828957094,5.970127978,5.978815917,5.688265537,5.887997074,5.783823245,5.953847454,5.967443457,5.826076434
AT2G01400,6.346122213,6.226248832,6.421696144,6.383202933,6.335358229,6.073113117,6.584196098,6.374398172,6.546550991,6.069004169,6.072139648,6.103721613,6.734470177,6.954327262,6.415227919,6.200126671,6.113929103,6.13430654,6.79181948,6.810604578,7.103929763,6.208019014,5.977066077,6.001663647,6.235145671,6.021465411,5.980319666,6.155963726,6.507286958,6.081858066,5.91520398,5.952452882,5.995895892,5.874356777,6.093641973,6.107681534,6.087730217,5.989208712,6.233689825,6.021805831,6.093266855,5.912144004,6.204407645,6.024606722,6.0356011,6.29870567,5.938983949,6.131195192,6.060602309,5.936666909,6.009706347,6.153986941,6.07835637,6.175880366,6.239371614,6.179627647,5.788904266
AT2G01410,7.888513604,7.982616682,7.925994844,7.604326036,7.735070169,7.646234825,7.963803529,7.464588916,8.125365049,7.673916872,7.418820756,7.36488105,8.26740738,8.287308568,8.297590925,7.505358138,7.646229432,7.553045904,8.107146515,7.980617178,8.174407101,7.6466562,7.392109682,7.412230916,7.621457123,7.720383121,7.486704336,7.268380587,7.709167765,7.40735983,7.387377799,7.347870059,7.395226462,7.411606981,7.376825931,7.587847234,7.324213192,7.303073785,7.550461826,7.470557898,7.411615193,7.523478555,7.501158814,7.235410141,7.362310643,7.503612532,7.681350575,7.564554005,7.414847264,7.480294493,7.345327756,7.556540849,7.724924461,7.56518946,7.62220671,7.023509154,7.309793433
AT2G01420,10.58814908,10.70373706,10.54166081,10.80109656,10.72398698,10.68764642,9.928003014,10.22007483,9.972263052,10.39230888,10.39001446,10.27437458,9.758924586,9.52357381,8.904713627,10.18812085,10.56279179,10.40133687,9.947391577,9.988652369,9.589670533,10.39978797,10.46137789,10.41904587,10.24397423,10.28081509,10.26374138,10.29767831,9.97334188,10.50990751,10.48781531,10.48049072,10.61662362,10.36072909,10.37216263,10.63464825,10.36933992,10.33045185,10.62289807,10.42483695,10.47895656,10.55094862,10.46467672,10.38472026,10.56702705,10.47371676,10.52350912,10.49287359,10.40492013,10.3661405,10.54986066,10.5308877,10.53056246,10.55536317,10.60351078,10.44219626,10.50298317
AT2G01422,-1.816640761,-1.816604559,-1.817006527,-1.817009519,-1.817651883,-1.805920532,-1.817754848,-1.818541125,-1.817006417,-1.818394713,-1.795906552,-1.818129863,-1.816900309,-1.816922003,-1.815915211,-1.818775755,-1.818399522,-1.819164206,-1.816966441,-1.817988531,-1.816638191,-1.818078732,-1.818438925,-1.818063878,-1.817911674,-1.806763113,-1.817834782,-1.812806905,-1.796630677,-1.818863799,-1.819113156,-1.818161679,-1.818697953,-1.807068546,-1.818259726,-1.818031126,-1.81850658,-1.818495644,-1.818557447,-1.818468843,-1.818544582,-1.818362926,-1.81825331,-1.818681653,-1.818268111,-1.818191217,-1.81786239,-1.818473299,-1.81808549,-1.818856477,-1.818332899,-1.818012834,-1.807197759,-1.81827331,-1.818606458,-1.818254177,-1.818154541
AT2G01430,3.448425135,3.309346884,3.286335751,3.3876295,3.304077872,3.38177937,3.224327359,3.21869678,3.152182122,3.244300835,3.310688451,3.188020043,3.259748569,3.190077893,3.575237821,3.237850309,3.223760659,3.130721384,3.223538513,3.378435101,3.157579034,3.213037891,3.299829177,3.189717819,3.218725638,3.224267515,3.20876738,3.221227653,3.572151568,3.207928712,3.200299109,3.138841266,3.154726123,3.223964183,3.184778071,3.214629965,3.219912544,3.240060395,3.440100651,3.158251324,3.19860533,3.203992511,3.184935209,3.232564537,3.249797557,3.138561515,3.357584473,3.221095702,3.27978592,3.190027354,3.171820364,3.28365832,3.276717224,3.280214282,3.272434792,3.184913953,3.163529434
AT2G01440,9.802810949,9.743412323,9.605811351,9.601864159,9.583408727,9.354869427,9.811727378,9.190810071,9.858826216,9.284194384,9.205898221,9.044427612,10.16795352,10.35331308,10.28778282,9.213212938,9.20150651,9.102234722,10.11119512,9.923326419,10.22091086,9.175497429,9.04110402,8.958890071,9.140281233,9.053364322,9.190136389,9.171305518,9.105848369,9.112765688,9.066858917,9.184634894,9.158140782,8.991408272,9.046934041,9.209101039,8.92280267,8.957745044,9.250570568,9.034029252,8.962960487,9.07235562,9.025646771,9.019423249,8.998391549,9.113873387,9.169712541,9.059784487,8.951756213,9.074527221,9.161070254,9.070494709,9.18954084,9.0158253,9.255446575,9.074740835,8.989869497
