condition,total_persistent,unique_to_condition,shared_with_other_stress,shared_percent,high_breadth_4plus,high_breadth_percent
cold,71,11,60,84.50704225352112,38,53.52112676056338
cold_high_light,187,114,73,39.037433155080215,34,18.181818181818183
drought,1240,575,665,53.62903225806451,203,16.370967741935484
heat,70,3,67,95.71428571428572,47,67.14285714285714
heat_drought,344,10,334,97.09302325581395,174,50.58139534883721
heat_drought_high_light,255,7,248,97.25490196078431,191,74.90196078431373
heat_high_light,72,2,70,97.22222222222221,58,80.55555555555556
high_humidity,28,9,19,67.85714285714286,11,39.285714285714285
high_light,779,152,627,80.48780487804879,197,25.288831835686775
