,cold,cold_high_light,drought,heat,heat_drought,heat_drought_high_light,heat_high_light,high_humidity,high_light
cold,1.0,0.09322033898305085,0.03228346456692913,0.1652892561983471,0.061381074168797956,0.11643835616438356,0.12598425196850394,0.07608695652173914,0.058530510585305104
cold_high_light,0.09322033898305085,1.0,0.03857350800582242,0.08438818565400844,0.05357142857142857,0.08068459657701711,0.05714285714285714,0.028708133971291867,0.03759398496240601
drought,0.03228346456692913,0.03857350800582242,1.0,0.0463258785942492,0.24235294117647058,0.18462757527733756,0.052125100240577385,0.011164274322169059,0.4099162011173184
heat,0.1652892561983471,0.08438818565400844,0.0463258785942492,1.0,0.06976744186046512,0.1524822695035461,0.22413793103448276,0.07692307692307693,0.05204460966542751
heat_drought,0.061381074168797956,0.05357142857142857,0.24235294117647058,0.06976744186046512,1.0,0.39953271028037385,0.10933333333333334,0.02197802197802198,0.35138387484957884
heat_drought_high_light,0.11643835616438356,0.08068459657701711,0.18462757527733756,0.1524822695035461,0.39953271028037385,1.0,0.1890909090909091,0.02909090909090909,0.2749691738594328
heat_high_light,0.12598425196850394,0.05714285714285714,0.052125100240577385,0.22413793103448276,0.10933333333333334,0.1890909090909091,1.0,0.02040816326530612,0.07721518987341772
high_humidity,0.07608695652173914,0.028708133971291867,0.011164274322169059,0.07692307692307693,0.02197802197802198,0.02909090909090909,0.02040816326530612,1.0,0.01509433962264151
high_light,0.058530510585305104,0.03759398496240601,0.4099162011173184,0.05204460966542751,0.35138387484957884,0.2749691738594328,0.07721518987341772,0.01509433962264151,1.0
