,endpoint_mean_abs_shift,recovery_mean_abs_shift,endpoint_median_abs_shift,recovery_median_abs_shift,residual_fraction,reduction_fraction
cold,0.27486781606720784,0.05047621193414504,0.1915686525,0.03153777966666649,0.18363813070717278,0.8163618692928272
cold_high_light,0.39075661888352864,0.09728367331367894,0.2990384536666659,0.06969027483333257,0.24896231723889475,0.7510376827611053
drought,0.4577380955960768,0.11971667576835898,0.285775496666667,0.06329998883333343,0.26153968157808943,0.7384603184219105
heat,0.10680823089923934,0.049168088846797874,0.06337966833333297,0.03129591183333402,0.4603398861009319,0.5396601138990681
heat_drought,0.6544981001832453,0.06302175497988616,0.41683283766666657,0.03524491916666639,0.09629020307658866,0.9037097969234114
heat_drought_high_light,0.2900616647795645,0.062086386786724346,0.19382981516666709,0.037345877000000804,0.2140454748955108,0.7859545251044893
heat_high_light,0.09519506240308087,0.059712237842892514,0.06123811200000007,0.036237543333332844,0.62726192236794,0.37273807763206
high_humidity,0.11554089878686474,0.05123956626509176,0.06472298583333269,0.03340024849999956,0.443475572745994,0.556524427254006
high_light,0.1296226123624448,0.0998473339494729,0.08169133033333353,0.0530012583333328,0.7702925603002382,0.22970743969976182
