gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT1G02920,cold,up,0.9459185186666677,1.0387181473333333,-0.09810530910999882,6
AT1G07050,cold,up,2.5398181226666683,0.4007632680000013,0.8422078870831813,2
AT1G09350,cold,up,1.7628536539999997,0.44933201766666553,0.7451109928228532,1
AT1G09932,cold,up,0.4003604126666671,0.3982190750000001,0.0053485249762939,4
AT1G10070,cold,up,0.5420437736666672,0.35587150066666773,0.343463539375488,6
AT1G14880,cold,up,1.2663154499999987,1.6912627886666654,-0.3355777888255782,3
AT1G15520,cold,up,0.3942261276666672,0.6062119580000003,-0.5377264860348752,4
AT1G20030,cold,up,0.6191643846666679,0.40669978633333415,0.34314731853918856,1
AT1G21250,cold,up,0.7224434283333334,0.42674008700000066,0.40931003001233757,7
AT1G21310,cold,up,1.9035763200000009,1.0531435610000006,0.4467552732532415,7
AT1G33960,cold,up,0.4148774590000013,1.0455622416666674,-1.52017124330359,3
AT1G53110,cold,up,0.4701023693333344,0.35063401366666724,0.25413263888903315,3
AT1G56300,cold,up,1.1049163333333336,0.39338709966666485,0.643966617381891,2
AT1G56600,cold,down,-0.9356973313333317,-0.5932193893333322,0.36601359278430556,2
AT1G61800,cold,up,3.2075823373333323,0.5760744976666654,0.8204022727767004,7
AT1G67920,cold,up,0.4192796519999997,0.3484302076666661,0.16897897142247598,4
AT1G73805,cold,up,0.8448697003333336,0.4703735913333338,0.4432590124278888,5
AT1G73810,cold,up,0.7290183776666659,0.39914708699999935,0.45248693417368946,6
AT1G75040,cold,up,2.9585479616666666,0.8319577780000005,0.7187952371299988,3
AT1G76790,cold,up,1.3771476346666658,0.34448172899999996,0.7498585334437432,3
AT1G76930,cold,up,1.214218787,0.5226111430000007,0.5695906301275171,5
AT1G80160,cold,up,0.36471921200000024,0.6152027476666673,-0.6867845932576397,8
AT2G14560,cold,up,1.0991180493333346,1.0114493446666675,0.07976277408950039,6
AT2G14610,cold,up,2.152705287333334,3.4951294793333343,-0.623598687613635,6
AT2G18050,cold,down,-0.926164168333333,-0.48188921199999957,0.4796935268320981,1
AT2G21660,cold,up,1.7773798966666678,0.49352900333333416,0.7223277903283885,1
AT2G23170,cold,up,0.6434863570000005,0.36255925833333347,0.4365704037244519,5
AT2G24850,cold,up,0.44099145633333237,0.5568343076666675,-0.26268729171427063,5
AT2G26010,cold,up,0.627992019333333,0.3551513280000007,0.4344652207889137,2
AT2G26400,cold,up,0.8094173749999998,0.6437986106666669,0.2046147876839597,2
AT2G26440,cold,up,0.3728001023333327,0.34941427100000055,0.06273021704383042,4
AT2G26560,cold,up,0.9282791616666666,0.5788267693333333,0.3764518334182074,6
AT2G40750,cold,up,0.9644300323333335,0.45494991666666706,0.5282706869196458,6
AT2G42530,cold,up,3.7165560583333352,0.3457580870000001,0.9069681496597544,2
AT2G43570,cold,up,1.5158020720000014,1.6659976383333337,-0.0990865292426728,8
AT3G11020,cold,up,1.1998284520000002,0.3961222243333342,0.6698509493811086,2
AT3G22231,cold,up,1.8018749253333333,0.6356791936666664,0.6472123648931567,5
AT3G22235,cold,up,1.5372370459999996,0.5988747926666687,0.6104213112577637,6
AT3G22600,cold,up,0.6937142749999987,0.9801076069999999,-0.41284047672220914,5
AT3G22840,cold,up,4.785824777666668,0.3543644530000005,0.9259554059200699,3
AT3G25010,cold,up,0.5250553600000005,0.6876975646666681,-0.30976201188893193,5
AT3G26200,cold,down,-0.5045434146666663,-0.39651730366666627,0.21410667121950056,1
AT3G26830,cold,up,0.5690698870000004,1.088731633,-0.9131773756990227,7
AT3G49110,cold,up,0.6419888783333327,0.34328135599999854,0.4652845748805007,1
AT3G49120,cold,up,0.9330886550000006,0.3548129816666652,0.6197435476625048,7
AT3G56710,cold,up,0.43422191966666723,0.3602576983333341,0.17033737354878853,7
AT3G57240,cold,up,1.3084368763333334,0.476546863666667,0.635789183042512,2
AT3G57260,cold,up,2.115106396999999,1.2901334699999998,0.3900385002712464,6
AT4G01985,cold,up,3.30383844,0.8898241390000003,0.730669596846267,7
AT4G02520,cold,up,0.7726992759999991,0.5674917426666681,0.2655723121621395,2
AT4G08150,cold,up,0.3908794783333329,0.3565872746666665,0.08773088782477045,1
AT4G10500,cold,up,0.5491845600000005,0.7757799480000003,-0.4126033477707378,4
AT4G12290,cold,up,1.249322991333333,0.35896338633333436,0.7126736730025014,7
AT4G12470,cold,up,5.590911165,0.8366193853333321,0.8503608158593713,5
AT4G12480,cold,up,2.1502622659999986,0.501561879333333,0.7667438585217989,7
AT4G12490,cold,up,0.9860018993333339,0.7044260719999995,0.2855733112925203,3
AT4G12500,cold,up,0.47161730966666626,0.4075554543333335,0.1358344022160911,1
AT4G19230,cold,up,1.1342153893333338,0.4216371060000004,0.6282565816287953,3
AT4G23140,cold,up,1.123676693666667,0.777684904,0.3079104440065068,5
AT4G23150,cold,up,0.5982061503333336,0.3845112266666666,0.3572262230129053,3
AT4G33467,cold,up,0.9716199786666682,0.702272977333334,0.2772143505148513,1
AT4G36850,cold,down,-0.5815278829999997,-0.3825556083333339,0.3421543153532087,1
AT5G03350,cold,up,1.559577068666668,0.38694710066666715,0.7518897216169762,5
AT5G10760,cold,up,1.3613167346666666,0.9729868660000003,0.2852604825736996,4
AT5G15500,cold,down,-0.7038650310000003,-0.4671761526666671,0.33627026192374243,1
AT5G15960,cold,up,4.867399964666667,0.5985500903333332,0.8770287844273501,2
AT5G17460,cold,up,2.1036381283333334,0.3959792783333329,0.8117645459073997,2
AT5G17760,cold,up,0.9783362293333324,0.3686070189999988,0.6232307381163031,5
AT5G23240,cold,up,1.621983331,0.5147226390000013,0.6826584902801315,2
AT5G24470,cold,up,2.6655879849999993,0.4758550716666674,0.8214821366451096,2
AT5G24530,cold,up,0.628501885666668,0.833462531666668,-0.3261098346309541,6
AT1G01480,cold_high_light,up,0.655915072,0.5880635570000003,0.1034455799180044,5
AT1G03130,cold_high_light,down,-0.7619607533333355,-0.5440075600000025,0.2860425453408948,1
AT1G03970,cold_high_light,up,0.709005018,0.3788203850000009,0.465701404951127,1
AT1G06680,cold_high_light,down,-0.3925243533333358,-0.8458396300000004,-1.154871724052506,1
AT1G07050,cold_high_light,up,2.387051833,0.7620042746666673,0.6807759831050693,2
AT1G07430,cold_high_light,up,0.5401420460000006,0.768872082333333,-0.4234627502657555,1
AT1G08380,cold_high_light,down,-0.5265209666666664,-0.73612799,-0.398098151077112,1
AT1G08500,cold_high_light,up,0.41990495466666555,0.363579468666666,0.13413865536478975,1
AT1G08630,cold_high_light,up,0.7194959060000001,0.5277221206666671,0.2665390917920427,2
AT1G09500,cold_high_light,up,0.9097304066666663,0.6709180323333328,0.26250895054542966,7
AT1G10070,cold_high_light,up,0.37335778966666755,0.6513689446666673,-0.7446239577543221,6
AT1G11210,cold_high_light,up,1.4275436999999993,0.6064697403333339,0.5751655516161542,1
AT1G15820,cold_high_light,down,-0.5499482099999966,-0.9160498099999987,-0.6657019576443468,1
AT1G16850,cold_high_light,up,1.6830724453333339,0.8159874436666676,0.5151798450927283,1
AT1G17665,cold_high_light,up,1.9008716249999997,0.48423359500000007,0.7452570764740623,1
AT1G18710,cold_high_light,up,0.8636114246666668,0.4894902616666661,0.4332054351230966,1
AT1G19180,cold_high_light,up,0.923610117,0.35135663166666653,0.6195833878391064,5
AT1G20620,cold_high_light,down,-0.7597714199999999,-0.5398942500000015,0.289399106378598,1
AT1G21310,cold_high_light,up,1.8932122966666665,0.3791108656666662,0.7997525864721259,7
AT1G22570,cold_high_light,up,0.4648577689999991,0.42488637133333285,0.0859862958785278,1
AT1G24330,cold_high_light,up,0.3472069813333336,0.36826855400000014,-0.0606599918751245,1
AT1G24580,cold_high_light,up,2.0379356233333334,0.404355862666665,0.8015855564636122,1
AT1G25530,cold_high_light,up,0.7062899590000002,0.5702429076666675,0.1926220946506938,2
AT1G29910,cold_high_light,down,-0.7692986700000013,-0.6220856066666691,0.19136009078675764,1
AT1G30220,cold_high_light,up,0.3906775763333332,1.2305069130000001,-2.14967376563765,6
AT1G30380,cold_high_light,down,-0.3432789766666673,-0.6226734733333359,-0.8138992354838199,1
AT1G31330,cold_high_light,down,-0.3991418533333313,-0.7534061299999966,-0.8875648436968402,1
AT1G43160,cold_high_light,up,0.3715070620000003,0.9059523863333336,-1.4385872544552947,4
AT1G51090,cold_high_light,up,1.160534830666668,0.45345633866666724,0.6092695137756619,1
AT1G52190,cold_high_light,down,-1.3479536789999997,-0.4109745966666658,0.6951122259842388,1
AT1G52230,cold_high_light,down,-0.35401052999999827,-0.60402062,-0.7062221849728678,1
AT1G52890,cold_high_light,up,0.5552733626666662,0.6566236226666673,-0.1825231801382885,5
AT1G53035,cold_high_light,up,1.1167865333333324,0.3501450833333335,0.6864708940497011,1
AT1G54575,cold_high_light,up,1.395337198,0.5865657099999995,0.5796244012983022,3
AT1G55670,cold_high_light,down,-0.3976114966666664,-0.7195812533333346,-0.8097596758792622,1
AT1G56300,cold_high_light,up,0.7679118629999984,0.46455379133333174,0.3950428249428767,2
AT1G58340,cold_high_light,up,0.7156800776666667,0.49826471266666594,0.3037884828495444,5
AT1G61520,cold_high_light,down,-0.45044811666666895,-0.8376186466666677,-0.8595230297888103,1
AT1G61800,cold_high_light,up,4.792476364333331,0.7365519249999988,0.8463107861143393,7
AT1G62305,cold_high_light,up,0.7941807526666675,0.4313877510000008,0.456814145203715,2
AT1G62930,cold_high_light,up,0.4176421253333338,0.4349226453333337,-0.04137638171965485,1
AT1G64720,cold_high_light,down,-0.7357502066666655,-0.4188986466666673,0.430650996940255,1
AT1G66100,cold_high_light,down,-0.4593436053333342,-0.4436617216666665,0.034139767016649114,1
AT1G66390,cold_high_light,up,1.1377947616666657,0.4047526280000002,0.6442656956803791,1
AT1G67870,cold_high_light,down,-0.3775526933333335,-0.3948063166666653,-0.04569858363610968,1
